# unlabeled youtube video segments from the dcase dataset, reformated like google_audioset_meta
# 10 classes: /m/07pp_mv, /m/09x0r, /m/0bt9lr, /m/01yrx, /m/04brg2, /m/0dxrf, /m/04fgwm, /m/0d31p, /m/02pjr4, /m/0838f
# YTID, start_seconds, end_seconds
--CE2f-ttEQ, 30.000, 40.000
--ERHDSdxGQ, 30.000, 40.000
-0A1_JR5f34, 16.000, 26.000
-0BScjoz3Z0, 10.000, 20.000
-0nSANmuPxU, 10.000, 20.000
-1Aq2vO90x0, 100.000, 110.000
-1KAjPp2-Vc, 120.000, 130.000
-1XUnm0C3nc, 30.000, 40.000
-1gnqVuvMqg, 30.000, 40.000
-21GRnZ5a5I, 30.000, 40.000
-2T84hKp5pU, 30.000, 40.000
-2wSfX2alxs, 30.000, 40.000
-3jCQXtsa7A, 30.000, 40.000
-3qrk3DOzPY, 11.000, 21.000
-49HTaaNAjk, 10.000, 20.000
-4RO-xwY_sU, 30.000, 40.000
-4V-G01XDGA, 140.000, 150.000
-4W5MXLYr7Y, 30.000, 40.000
-54naqYCenE, 70.000, 80.000
-5kitoRP7n8, 14.000, 24.000
-5msR5aVwtg, 90.000, 100.000
-5xNaSrvNlw, 40.000, 50.000
-628WBAudFs, 40.000, 50.000
-62RXhX5GZk, 30.000, 40.000
-67q0yYR0zk, 24.000, 34.000
-6Vl2wMppE0, 150.000, 160.000
-6axSq5UpRU, 30.000, 40.000
-6bSOEg37aM, 30.000, 40.000
-6mz1aSpypo, 30.000, 40.000
-6rhfzzAeTI, 10.000, 20.000
-7TkOxpkbwM, 30.000, 40.000
-7khhKKo4ts, 60.000, 70.000
-8-DDEBf4O4, 30.000, 40.000
-84CyEpynsY, 10.000, 20.000
-8EPfCUsaJI, 30.000, 40.000
-8gLdsuPmOI, 30.000, 40.000
-8rk5vvJ0_w, 30.000, 40.000
-8w29At1-6M, 28.000, 38.000
-96M8jhGKKs, 30.000, 40.000
-9DP8x__enM, 30.000, 40.000
-9ZM1CeOx8Q, 6.000, 16.000
-9Zu3pbxUZA, 30.000, 40.000
-9vtZXolVrA, 30.000, 40.000
-AFrDnmdTCg, 30.000, 40.000
-ATt52SzTvg, 20.000, 30.000
-AVwRtGa-4g, 30.000, 40.000
-AWooU1PDiM, 70.000, 80.000
