# weakly labeled youtube video segments from the dcase dataset, reformated like google_audioset_meta
# 10 classes: /m/07pp_mv, /m/09x0r, /m/0bt9lr, /m/01yrx, /m/04brg2, /m/0dxrf, /m/04fgwm, /m/0d31p, /m/02pjr4, /m/0838f
# YTID, start_seconds, end_seconds, weak_labels
KK227gPpRn4, 30.000, 40.000, "/m/07pp_mv;/m/09x0r"
-6p32k2WUCs, 0.000, 10.000, "/m/07pp_mv"
-Zjgm_sZd10, 0.000, 4.000, "/m/07pp_mv"
-ikrSfqB0LU, 0.000, 3.000, "/m/07pp_mv"
26ubekDhG_Y, 0.000, 10.000, "/m/07pp_mv"
2xXpSgqrtDE, 40.000, 50.000, "/m/07pp_mv"
2xo20i_OZrM, 80.000, 90.000, "/m/07pp_mv;/m/09x0r"
3BcwNM72zcQ, 10.000, 20.000, "/m/07pp_mv"
44U-fF5rsjM, 0.000, 10.000, "/m/07pp_mv;/m/0bt9lr"
4oQdHNxBFFY, 20.000, 30.000, "/m/07pp_mv;/m/09x0r"
52Usv8FcO0w, 30.000, 40.000, "/m/07pp_mv;/m/09x0r"
5pNzHcUedVo, 10.000, 20.000, "/m/07pp_mv"
6PrBwQNpLvo, 10.000, 20.000, "/m/07pp_mv;/m/09x0r"
6aNA6pqmpd8, 0.000, 6.000, "/m/07pp_mv"
7fGU8SFid9E, 130.000, 140.000, "/m/07pp_mv"
9QEM0ThcgD4, 20.000, 30.000, "/m/07pp_mv"
9zWmlaj56pM, 60.000, 70.000, "/m/07pp_mv;/m/09x0r"
CvvvGRbF5mU, 30.000, 40.000, "/m/07pp_mv;/m/0bt9lr;/m/09x0r"
E8Yi41OgpWo, 0.000, 10.000, "/m/07pp_mv"
EL3v64rTpG8, 0.000, 9.000, "/m/07pp_mv;/m/09x0r"
EenFsKjpsQc, 200.000, 210.000, "/m/07pp_mv;/m/09x0r"
EqCEkkd_c_I, 0.000, 10.000, "/m/07pp_mv"
HoBWL3qAnGU, 350.000, 360.000, "/m/07pp_mv"
I-uouJ_Zsv4, 0.000, 10.000, "/m/07pp_mv;/m/09x0r"
I3kPmcHvMrg, 30.000, 40.000, "/m/07pp_mv;/m/0bt9lr"
J1EO9afbq4U, 80.000, 90.000, "/m/07pp_mv"
J1Qv0p8QsR8, 150.000, 160.000, "/m/07pp_mv;/m/09x0r"
